Designator,Mid X,Mid Y,Layer,Rotation
C1,82.5,-50.5,Top,-90
C2,88.5,-50.5,Top,-90
C3,80,-48,Top,-90
C4,85,-66,Top,90
C5,85,-55.5,Top,-90
C6,82.5,-66,Top,90
C8,80,-42.975,Top,90
D2,87,-67,Top,-90
D3,80,-71,Top,90
D4,89.5,-32.5,Top,180
D5,85.5,-32.5,Top,180
D6,89.5,-54.5,Top,180
PIC18F45K50,85.4,-42.5,Top,0
R1,80,-66,Top,-90
R3,80,-55.5375,Top,-90
R4,82.5,-55.5,Top,90
R5,89.5,-57,Top,180
R7,80,-38.0375,Top,-90
R8,89.5,-35,Top,180
X1,85.5,-50,Top,180
